"보고 시작","보고 종료","광고 세트 이름","광고 세트 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (USD)",종료,시작,노출,"CPM(1,000회 노출당 비용) (USD)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (USD)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (USD)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (USD)"
2026-05-28,2026-05-28,버닝슬라이드_1번소재_IG릴스스토리,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,98,1.030612,,"캠페인 예산 사용",0,1.91,"진행 중",2026-05-12,101,18.910891,2,,0.955,1.980198,3,2.970297,0.636667,2,0.955
2026-05-28,2026-05-28,버닝슬라이드_1번소재_FB,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"캠페인 예산 사용",0,0,"진행 중",2026-05-12,0,0,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝슬라이드_2번소재_IG릴스스토리,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"캠페인 예산 사용",0,0,"진행 중",2026-05-12,0,0,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝슬라이드_2번소재_FB,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"캠페인 예산 사용",0,0,"진행 중",2026-05-12,0,0,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝슬라이드_6번소재_IG+FB,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"캠페인 예산 사용",0,0,"진행 중",2026-05-13,0,0,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝슬라이드_7번소재_IG+FB,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"캠페인 예산 사용",0,0,"진행 중",2026-05-13,0,0,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝슬라이드_0515_관심사,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",6,actions:offsite_conversion.fb_pixel_purchase,7091,1.104217,21.2,"캠페인 예산 사용",0,127.2,"진행 중",2026-05-15,7830,16.245211,120,,1.06,1.532567,121,1.545338,1.05124,111,1.145946
2026-05-28,2026-05-28,버닝슬라이드_0518_관심사,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,945,1.29418,,"캠페인 예산 사용",0,22.44,"진행 중",2026-05-18,1223,18.348324,11,,2.04,0.899428,11,0.899428,2.04,10,2.244
2026-05-28,2026-05-28,버닝웨이브바_0518_관심사,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",6,actions:offsite_conversion.fb_pixel_purchase,3946,1.070451,13.84166667,"캠페인 예산 사용",0,83.05,"진행 중",2026-05-18,4224,19.661458,107,,0.776168,2.533144,115,2.722538,0.722174,125,0.6644
2026-05-28,2026-05-28,버닝슬라이드_0519_관심사_이미지,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,196,1.096939,,"캠페인 예산 사용",0,2.9,"진행 중",2026-05-19,215,13.488372,2,,1.45,0.930233,2,0.930233,1.45,1,2.9
2026-05-28,2026-05-28,버닝웨이브바_0520_관심사,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_purchase,1251,1.076739,5.27,"캠페인 예산 사용",0,21.08,"진행 중",2026-05-20,1347,15.649592,56,,0.376429,4.157387,63,4.67706,0.334603,71,0.296901
2026-05-28,2026-05-28,버닝슬라이드_0521_관심사_소재분리,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,124,1.064516,,"캠페인 예산 사용",0,1.63,"진행 중",2026-05-21,132,12.348485,,,,,0,0,0,,
2026-05-28,2026-05-28,버닝웨이브바_0526_관심사_소재분리,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_purchase,82,1.134146,1.5,"캠페인 예산 사용",0,3,"진행 중",2026-05-26,93,32.258065,3,,1,3.225806,3,3.225806,1,2,1.5
2026-05-28,2026-05-28,플로우라이트_0527_관심사,active,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.custom.1947657542546980,1768,1.105769,50.36,"캠페인 예산 사용",0,50.36,"진행 중",2026-05-27,1955,25.759591,31,,1.624516,1.585678,37,1.892583,1.361081,29,1.736552
2026-05-28,2026-05-28,버닝슬라이드_0528_어드밴티지,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,483,1.138716,,"캠페인 예산 사용",0,13.1,"진행 중",2026-05-28,550,23.818182,9,,1.455556,1.636364,9,1.636364,1.455556,9,1.455556
2026-05-28,2026-05-28,플로우라이트_0528_어드밴티지,active,"클릭 후 7일 또는 조회 후 1일",,,349,1.140401,,"캠페인 예산 사용",0,19.31,"진행 중",2026-05-28,398,48.517588,34,,0.567941,8.542714,23,5.778894,0.839565,23,0.839565
